utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 25, 40314, 40960
7, 0, 557, 39781, 40960
7, 0, 847, 39491, 40960
27, 0, 1201, 39137, 40960
27, 0, 1501, 38837, 40960
27, 0, 1801, 38537, 40960
27, 0, 2069, 38269, 40960
28, 0, 2391, 37947, 40960
28, 0, 2745, 37593, 40960
27, 0, 3045, 37293, 40960
27, 0, 3345, 36993, 40960
27, 0, 3613, 36725, 40960
27, 0, 3903, 36435, 40960
27, 0, 4289, 36049, 40960
27, 0, 4589, 35749, 40960
27, 0, 4889, 35449, 40960
27, 0, 5125, 35213, 40960
27, 0, 5447, 34891, 40960
27, 0, 5747, 34591, 40960
26, 0, 6047, 34291, 40960
26, 0, 6347, 33991, 40960
27, 0, 6637, 33701, 40960
27, 0, 6991, 33347, 40960
26, 0, 7291, 33047, 40960
26, 0, 7591, 32747, 40960
26, 0, 7859, 32479, 40960
26, 0, 8149, 32189, 40960
27, 0, 8449, 31889, 40960
27, 0, 8749, 31589, 40960
27, 0, 9049, 31289, 40960
27, 0, 9371, 30967, 40960
27, 0, 9693, 30645, 40960
27, 0, 9993, 30345, 40960
27, 0, 10293, 30045, 40960
27, 0, 10593, 29745, 40960
28, 0, 10915, 29423, 40960
28, 0, 11237, 29101, 40960
27, 0, 11537, 28801, 40960
27, 0, 11837, 28501, 40960
27, 0, 12137, 28201, 40960
27, 0, 12459, 27879, 40960
27, 0, 12781, 27557, 40960
27, 0, 13031, 27307, 40960
17, 0, 13031, 27307, 40960
17, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13031, 27307, 40960
0, 0, 13111, 27227, 40960
2, 0, 13223, 27115, 40960
2, 0, 13757, 26581, 40960
27, 10, 13757, 26581, 40960
27, 10, 13757, 26581, 40960
97, 47, 14013, 26325, 40960
97, 47, 14013, 26325, 40960
93, 54, 14013, 26325, 40960
93, 54, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 55, 14013, 26325, 40960
97, 55, 14013, 26325, 40960
96, 56, 14013, 26325, 40960
96, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 55, 14013, 26325, 40960
97, 55, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 55, 14013, 26325, 40960
97, 55, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
96, 55, 14013, 26325, 40960
96, 55, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
97, 56, 14013, 26325, 40960
96, 55, 14013, 26325, 40960
96, 55, 14013, 26325, 40960
96, 55, 14013, 26325, 40960
