utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 427, 39911, 40960
0, 0, 4, 40334, 40960
8, 0, 4, 40334, 40960
8, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 4, 40334, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40331, 40960
0, 0, 7, 40332, 40960
0, 0, 4, 40334, 40960
