utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB]
0, 0, 0, 40337, 40960
14, 0, 15, 40323, 40960
14, 0, 17, 40321, 40960
3, 0, 439, 39899, 40960
3, 0, 471, 39867, 40960
4, 0, 503, 39835, 40960
4, 0, 539, 39799, 40960
4, 0, 577, 39761, 40960
4, 0, 609, 39729, 40960
5, 0, 649, 39689, 40960
5, 0, 687, 39651, 40960
4, 0, 721, 39617, 40960
4, 0, 757, 39581, 40960
4, 0, 781, 39557, 40960
4, 0, 781, 39557, 40960
